pmid,doi,source,title,abstract,journal,publication_date,first_author,authors,disease_subtype,treatment_area,publication_type,evidence_level,ma_relevance,why_it_matters_for_ma,retrieved_at
38000001,10.1001/rct-lanadelumab-2023,pubmed,Efficacy and safety of lanadelumab for long-term prophylaxis of hereditary angioedema: a randomized controlled trial,This randomized controlled trial evaluated lanadelumab 300mg every 4 weeks versus placebo in 125 patients with HAE type 1/2. The primary endpoint was the mean attack rate. Double-blind placebo-controlled design. SERPING1 mutations confirmed in all patients.,New England Journal of Medicine,2023-09-15,Banerji A,Banerji A; Riedl MA; Bernstein JA,HAE type 1/2,long-term prophylaxis,RCT,high,high,C1-INH欠乏型HAEの長期予防を対象としたRCTとして、有効性・安全性の根拠として医師説明やpayer交渉で活用できる可能性があります。,2026-04-12T14:26:32Z
38000002,10.1016/rct-icatibant-2023,pubmed,Icatibant versus placebo for acute hereditary angioedema attacks: phase 3 randomized trial,Phase 3 randomized controlled trial of icatibant (Firazyr) for on-demand treatment of acute HAE attacks. C1-INH deficiency confirmed. Primary endpoint: time to first symptom relief.,Journal of Allergy and Clinical Immunology,2023-04-01,Cicardi M,Cicardi M; Banerji A,HAE type 1/2,acute treatment,RCT,high,high,C1-INH欠乏型HAEの急性発作治療に関するRCTとして、治療選択の臨床的根拠として医療者への情報提供に活用できる可能性があります。,2026-04-12T14:26:32Z
38000003,10.1111/stp-c1inh-2022,pubmed,Short-term prophylaxis with C1-INH concentrate before surgical procedures in patients with hereditary angioedema,Retrospective cohort study of perioperative prophylaxis management in 94 HAE patients. C1 esterase inhibitor deficiency confirmed by complement assay. Perioperative management included C1-INH IV (Berinert) or fresh frozen plasma (FFP) in 12% of cases.,Allergy,2022-11-20,Farkas H,Farkas H; Varga L,HAE type 1/2,short-term prophylaxis,RWE/observational,medium,medium,C1-INH欠乏型HAEの短期予防に関するリアルワールドデータとして、周術期管理の実態把握とpayer対応の根拠として活用できる可能性があります。,2026-04-12T14:26:32Z
38000004,10.1002/meta-ltp-2023,pubmed,Comparative effectiveness of long-term prophylaxis for hereditary angioedema: systematic review and network meta-analysis,"Network meta-analysis (NMA) of randomized trials assessing lanadelumab, berotralstat, and C1-INH SC (Haegarda) for long-term prophylaxis of HAE. We searched MEDLINE, EMBASE, and Cochrane for relevant studies.",Journal of Allergy and Clinical Immunology,2023-07-10,Li Y,Li Y; Chen X; Wang Q,unspecified HAE,long-term prophylaxis,review,high,high,HAEの治療に関するメタ解析・SRとして、エビデンス総括の根拠資料として活用できる可能性があります。,2026-04-12T14:26:32Z
38000005,10.1007/nc1inh-fxii-2022,pubmed,Factor XII-associated hereditary angioedema with normal C1 inhibitor: clinical characteristics and genetic analysis,Observational study of 45 patients with HAE with normal C1-INH (HAE-nC1INH) carrying factor XII mutations. FXII variants were identified in 38 patients. Estrogen-dependent exacerbation was noted in 22 female patients.,Orphanet Journal of Rare Diseases,2022-08-05,Magerl M,Magerl M; Goedel A; Maurer M,HAE-nC1INH,diagnosis,RWE/observational,medium,medium,正常C1-INH型HAEに関する観察研究として、実臨床での疾患管理状況を把握するための参考資料として保持します。,2026-04-12T14:26:32Z
38000006,10.1016/guideline-hae-2023,pubmed,International WAO/EAACI guideline for the management of hereditary angioedema: 2023 update,This clinical practice guideline provides updated treatment recommendations for hereditary angioedema management. Expert consensus from the WAO and EAACI. Evidence-based position statement on acute treatment and long-term prophylaxis.,World Allergy Organization Journal,2023-01-30,Maurer M,Maurer M; Magerl M; Betschel S,unspecified HAE,guidelines,guideline/consensus,high,high,HAEの診療ガイドライン・コンセンサス文書として、標準治療の推奨根拠を示す参照資料となりえます。,2026-04-12T14:26:32Z
38000007,10.1007/ole-lanadelumab-2023,pubmed,Long-term safety and efficacy of lanadelumab: open-label extension study of the HELP OLE trial,Open-label extension (OLE) of the HELP randomized controlled trial. Patients with HAE type 1/2 received lanadelumab for up to 30 months. Long-term tolerability data are reported.,Allergy and Asthma Proceedings,2023-05-15,Riedl MA,Riedl MA; Longhurst HJ; Cicardi M,HAE type 1/2,long-term prophylaxis,OLE/extension,medium,medium,C1-INH欠乏型HAEの治療に関する延長試験として、長期安全性・持続的有効性の訴求資料として活用できる可能性があります。,2026-04-12T14:26:32Z
38000008,10.1007/epi-hae-registry-2022,pubmed,Prevalence and attack frequency of hereditary angioedema: results from the HAE international registry,"Registry study of 1,234 HAE patients across 14 countries. Annual attack rate, prevalence estimates, and hospitalization data are reported. HAE emergency department visits accounted for 38% of all acute episodes.",Journal of Clinical Immunology,2022-06-01,Longhurst HJ,Longhurst HJ; Aberer W; Bouillet L,unspecified HAE,epidemiology,RWE/observational,medium,medium,HAEの疫学・医療資源利用に関する実態調査として、payer対応の定量的根拠として活用できる可能性があります。,2026-04-12T14:26:32Z
38000009,10.1007/qol-hae-2023,pubmed,Patient-reported outcomes and quality of life in hereditary angioedema: systematic review,"Systematic review of patient-reported outcomes (PRO) and QoL instruments used in HAE clinical trials. EQ-5D, HAE-QoL, and SF-36 scores were collected. Disease burden and work productivity impairment (WPAI) were assessed.",Patient,2023-02-14,Bygum A,Bygum A; Fagerberg CR,unspecified HAE,burden/QoL,review,high,high,HAEに関するメタ解析・SRとして、エビデンスの全体像把握に活用できる可能性があります。,2026-04-12T14:26:32Z
38000010,10.1007/basic-kallikrein-2022,pubmed,Plasma kallikrein-kinin pathway activation in hereditary angioedema: mechanistic insights,In vitro study examining complement activation and bradykinin pathway in HAE. Animal model (mouse model) of C1-INH deficiency used. Pathogenesis of contact activation system dysregulation.,Journal of Immunology,2022-03-22,Caliezi C,Caliezi C; Wuillemin WA,HAE type 1/2,basic science,unknown,unknown,low,C1-INH欠乏型HAEの病態・メカニズムに関する基礎研究として、科学的背景の理解を深める参考資料として保持します。,2026-04-12T14:26:32Z
38000011,10.1056/rct-berotralstat-2022,europepmc,Berotralstat (BCX7353) for prevention of hereditary angioedema attacks: a randomized controlled trial,Phase 3 randomized controlled trial of berotralstat (Orladeyo) for long-term prophylaxis of HAE attacks. C1-INH deficiency confirmed. 110 patients randomized 1:1 to berotralstat 110mg or placebo.,Allergy,2022-04-05,Zuraw BL,Zuraw BL; Bernstein JA; Maurer M,HAE type 1/2,long-term prophylaxis,RCT,high,high,C1-INH欠乏型HAEの長期予防を対象としたRCTとして、有効性・安全性の根拠として医師説明やpayer交渉で活用できる可能性があります。,2026-04-12T14:26:32Z
38000012,10.1016/rct-garadacimab-2023,europepmc,"Garadacimab (CSL312, anti-FXIIa antibody) for long-term prophylaxis of hereditary angioedema: phase 3 trial",Randomized double-blind placebo-controlled trial of garadacimab for HAE prophylaxis. SERPING1 mutation carriers enrolled. Monthly subcutaneous dosing evaluated.,Lancet,2023-11-01,Zuraw BL,Zuraw BL; Busse P; Caballero T,HAE type 1/2,long-term prophylaxis,RCT,high,high,C1-INH欠乏型HAEの長期予防を対象としたRCTとして、有効性・安全性の根拠として医師説明やpayer交渉で活用できる可能性があります。,2026-04-12T14:26:32Z
38000013,10.1007/rwe-hae-ltp-2022,europepmc,Real-world effectiveness of lanadelumab for hereditary angioedema prophylaxis: a prospective cohort study,Prospective cohort study of 210 HAE patients treated with lanadelumab in routine clinical practice. HAE type 1/2 population. Attack rate reduction and safety outcomes reported.,Clinical and Experimental Allergy,2022-09-12,Longhurst H,Longhurst H; Cicardi M; Craig T,HAE type 1/2,long-term prophylaxis,RWE/observational,medium,medium,C1-INH欠乏型HAEの治療実態を示すリアルワールドデータとして、payer対応や医療資源活用の根拠として有用な可能性があります。,2026-04-12T14:26:32Z
38000014,10.1016/review-hae-treatment-2023,europepmc,Current concepts in the treatment of hereditary angioedema: a narrative review,"Narrative review of acute and long-term prophylaxis treatment options for hereditary angioedema. Updates on recent clinical trials of lanadelumab, berotralstat, and garadacimab. C1-INH deficiency management is discussed.",Immunology and Allergy Clinics,2023-06-20,Cicardi M,Cicardi M; Zuraw BL,HAE type 1/2,long-term prophylaxis,review,medium,medium,C1-INH欠乏型HAEの治療に関する総説として、医師・payer向け教育資料の補足として活用できる可能性があります。,2026-04-12T14:26:32Z
38000015,10.1016/letter-hae-dosing-2023,europepmc,Editorial: Dosing considerations for lanadelumab in hereditary angioedema,Commentary on lanadelumab dosing frequency for long-term prophylaxis of HAE. Response to the letter regarding dose optimization in HAE type 1/2.,Journal of Allergy and Clinical Immunology,2023-03-07,Riedl MA,Riedl MA,HAE type 1/2,long-term prophylaxis,letter/commentary,low,low,C1-INH欠乏型HAEに関する専門家のコメンタリーとして、議論の動向を把握するための参考資料として保持します。,2026-04-12T14:26:32Z
38000016,10.1007/case-gene-hae-2022,europepmc,Case report: hereditary angioedema in a patient with novel SERPING1 mutation presenting with laryngeal edema,We report a case of HAE type 1 in a 28-year-old woman with a novel SERPING1 variant. C1-INH level was markedly reduced. Acute attack was treated with icatibant (Firazyr) on-demand.,"Allergy, Asthma & Immunology Research",2022-07-01,Takahashi N,Takahashi N; Yamamoto K,HAE type 1/2,acute treatment,case report,low,low,C1-INH欠乏型HAEに関する症例報告として、個別の治療経験を共有する参考資料として保持します。,2026-04-12T14:26:32Z
38000017,10.1016/diag-c4-hae-2022,europepmc,Diagnostic delay in hereditary angioedema: role of C4 levels and functional C1 inhibitor assay,"Analysis of diagnostic criteria and delay in 380 HAE patients. C4 level, antigenic C1-INH, and functional C1-INH assay sensitivity/specificity are reported. Biomarker utility in complement screening discussed.",Allergy,2022-10-15,Caballero T,Caballero T; Prior N; Perez-Fernandez E,unspecified HAE,diagnosis,unknown,unknown,medium,HAEの診断・バイオマーカーに関する知見として、早期診断啓発や診断精度向上に向けた医師教育の参考資料として活用できる可能性があります。,2026-04-12T14:26:32Z
38000018,10.1007/plg-hae-nc1inh-2023,europepmc,Plasminogen mutation-associated hereditary angioedema: clinical phenotype and angioedema mechanism,Cohort study of patients with hereditary angioedema associated with PLG mutations (HAE-nC1INH). Normal C1 inhibitor levels confirmed. ANGPT1 variants identified in 3 patients. HS3ST6 mutations excluded.,Journal of Allergy and Clinical Immunology,2023-08-22,Bork K,Bork K; Wulff K,HAE-nC1INH,other,RWE/observational,medium,medium,正常C1-INH型HAEに関する観察研究として、実臨床での疾患管理状況を把握するための参考資料として保持します。,2026-04-12T14:26:32Z
38000019,10.1007/stp-rwe-2022,europepmc,Perioperative management of hereditary angioedema patients undergoing major surgery: real-world data,Retrospective observational study of perioperative prophylaxis in 67 HAE surgeries. Pre-surgical management with C1-INH IV concentrate (Berinert) or FFP used in all cases. Pre-procedural angioedema prophylaxis outcomes are reported.,Clinical and Experimental Immunology,2022-12-05,Farkas H,Farkas H; Fust G; Varga L,unspecified HAE,short-term prophylaxis,RWE/observational,medium,medium,HAEの短期予防に関するリアルワールドデータとして、周術期管理の実態把握とpayer対応の根拠として活用できる可能性があります。,2026-04-12T14:26:32Z
38000020,10.1016/angpt1-hae-2023,europepmc,ANGPT1 mutations in hereditary angioedema with normal C1 inhibitor: phenotypic characterization,Case series of 18 patients with ANGPT1-associated HAE-nC1INH. Estrogen-dependent exacerbation observed in 14 patients. Normal C1 inhibitor levels (antigenic and functional) in all cases.,Orphanet Journal of Rare Diseases,2023-04-28,Magerl M,Magerl M; Cichon S; Nurnberg P,HAE-nC1INH,other,case report,low,low,正常C1-INH型HAEに関する症例報告として、個別の治療経験を共有する参考資料として保持します。,2026-04-12T14:26:32Z
39000001,10.9001/new-rct-2024,pubmed,Novel berotralstat extension study for HAE long-term prophylaxis,Randomized controlled trial of extended berotralstat dosing in hereditary angioedema. HAE type 1/2 patients. Double-blind placebo-controlled phase 3 design.,,2024-01-10,Zuraw BL,Zuraw BL,HAE type 1/2,long-term prophylaxis,OLE/extension,medium,medium,C1-INH欠乏型HAEの治療に関する延長試験として、長期安全性・持続的有効性の訴求資料として活用できる可能性があります。,2026-04-12T14:59:22Z
39000002,10.9002/new-rwe-2024,europepmc,Real-world outcomes of lanadelumab in HAE: a prospective cohort study,Prospective cohort study of lanadelumab in 180 HAE type 1/2 patients in real-world clinical practice.,,2024-02-15,Longhurst H,Longhurst H,HAE type 1/2,long-term prophylaxis,RWE/observational,medium,medium,C1-INH欠乏型HAEの治療実態を示すリアルワールドデータとして、payer対応や医療資源活用の根拠として有用な可能性があります。,2026-04-12T14:59:22Z
39000003,10.9003/new-gene-2024,pubmed,NTLA-2002 gene editing for hereditary angioedema: phase 1 results,Phase 1 first-in-human trial of NTLA-2002 CRISPR-based gene editing for HAE. SERPING1 gene targeting evaluated.,,2024-03-01,Bork K,Bork K,HAE type 1/2,long-term prophylaxis,unknown,unknown,low,C1-INH欠乏型HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-12T14:59:22Z
39000004,10.9004/new-qol-2024,europepmc,Health-related quality of life in HAE patients after long-term prophylaxis initiation,Patient-reported outcomes (PRO) and QoL in 210 HAE patients. HAE-QoL and EQ-5D assessed before and after lanadelumab initiation.,,2024-04-05,Bygum A,Bygum A,unspecified HAE,long-term prophylaxis,unknown,unknown,low,HAEに関する文献として、MA活動の参考資料として保持します。,2026-04-12T14:59:22Z
39000005,10.9005/new-guideline-2024,pubmed,Updated expert consensus recommendations for HAE management in pregnancy,Consensus statement and management recommendations for hereditary angioedema in pregnant women. Expert panel from EAACI.,,2024-05-20,Caballero T,Caballero T,unspecified HAE,guidelines,guideline/consensus,high,high,HAEの診療ガイドライン・コンセンサス文書として、標準治療の推奨根拠を示す参照資料となりえます。,2026-04-12T14:59:22Z
